No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
234;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;42500
235;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;42500
236;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;37500
237;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Depok;Pasar Agung;40000
238;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;30000
239;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;47500
240;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
241;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;31000
242;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;35000
243;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;36500
244;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;34500
245;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;43000
246;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;40000
247;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;37500
248;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;38000
249;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;40000
250;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;40000
251;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;30000
252;Cabai Rawit Merah;21/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;42500
253;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;35000
254;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;37500
255;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Depok;Pasar Agung;40000
256;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26500
257;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;47500
258;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;30000
259;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;29000
260;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;35000
261;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;36500
262;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;33000
263;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;41000
264;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;39000
265;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;37500
266;Cabai Rawit Merah;22/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;35000
